,Player 1,Player 2,Player 3,Player 4,Player 5,Player 6,Player 7,Player 8
I-1,Creep,Creep,Creep,Creep,Creep,Creep,Creep,Creep
I-2,Player 5,Player 7,Player 4,Player 3,Player 1,Player 8,Player 2,Player 6
I-3,Player 7,Player 4,Player 8,Player 2,Player 6,Player 5,Player 1,Player 3
I-4,Player 8,Player 5,Player 7,Player 6,Player 2,Player 4,Player 3,Player 1
II-1,Player 4,Player 8,Player 6,Player 1,Player 7,Player 3,Player 5,Player 2
II-2,Player 6,Player 3,Player 2,Player 5,Player 4,Player 1,Player 8,Player 7
II-3,Creep,Creep,Creep,Creep,Creep,Creep,Creep,Creep
II-4,Player 3,Player 6,Player 1,Player 7,Player 8,Player 2,Player 4,Player 5
II-5,Player 2,Player 1,Player 5,Player 8,Player 3,Player 7,Player 6,Player 4
II-6,Player 5,Player 7,Player 4,Player 3,Player 1,Player 8,Player 2,Player 6
III-1,Player 7,Player 4,Player 8,Player 2,Null,M.Player 1,Player 1,Player 3
III-2,Player 8,M.Player 6,Player 7,Player 6,Null,Player 4,Player 3,Player 1
III-3,Creep,Creep,Creep,Creep,Null,Creep,Creep,Creep
III-4,Player 4,Player 8,Player 6,Player 1,Null,Player 3,M.Player 6,Player 2
III-5,Player 6,Player 3,Player 2,M.Player 3,Null,Player 1,Player 8,Player 7
III-6,Player 3,Player 6,Player 1,Player 7,Null,Player 2,Player 4,M.Player 3
IV-1,Null,Player 7,Player 4,Player 3,Null,Player 8,Player 2,Player 6
