,Player 1,Player 2,Player 3,Player 4,Player 5,Player 6,Player 7,Player 8
I-1,Creep,Creep,Creep,Creep,Creep,Creep,Creep,Creep
I-2,Player 3,Player 5,Player 1,Player 6,Player 2,Player 4,Player 8,Player 7
I-3,Player 8,Player 4,Player 6,Player 8,Player 7,Player 3,Player 5,Player 1
I-4,Player 2,Player 1,Player 7,Player 5,Player 4,Player 8,Player 3,Player 6
II-1,Player 6,Player 7,Player 4,Player 3,Player 8,Player 1,Player 2,Player 5
II-2,Player 7,Player 6,Player 5,Player 8,Player 3,Player 2,Player 1,Player 4
II-3,Creep,Creep,Creep,Creep,Creep,Creep,Creep,Creep
II-4,Player 4,Player 5,Player 8,Player 1,Player 2,Player 7,Player 6,Player 3
II-5,Player 3,Player 8,Player 1,Player 7,Player 6,Player 5,Player 4,Player 2
II-6,Player 5,Player 3,Player 2,Player 6,Player 1,Player 4,Player 8,Player 7
III-1,Player 8,Player 4,Player 6,Player 2,Player 7,Player 3,Player 5,Player 1
III-2,Player 2,Player 1,Player 7,Player 5,Player 4,Player 8,Player 3,Player 6
III-3,Creep,Creep,Creep,Creep,Creep,Creep,Creep,Creep
III-4,Player 6,Player 7,Player 4,Player 3,Player 8,Player 1,Player 2,Player 5
III-5,Player 7,Player 6,Player 5,Player 8,Player 3,Player 2,Player 1,Player 4
III-6,Player 4,Player 5,Null,Player 1,Player 2,Null,Player 8,Player 7
IV-1,Player 5,Player 8,Null,M.Player 5,Player 1,Null,Null,Player 2
IV-2,Player 4,Player 5,Null,Player 1,Player 2,Null,Null,Null
IV-3,Creep,Creep,Null,Creep ,Creep,Null,Null,Null
IV-4,Player 2,Player 1,Null,Player 5,Player 4,Null,Null,Null
IV-5,Player 5,Player 4,Null,Player 2,Player 1,Null,Null,Null
IV-6,Null,Player 5,Null,M.Player 5,Player 2,Null,Null,Null
V-1,Null,Player 5,Null,Null,Player 2,Null,Null,Null
V-2,Null,Player 5,Null,Null,Player 2,Null,Null,Null
V-3,Null,Creep,Null,Null,Creep,Null,Null,Null
V-4,Null,Player 5,Null,Null,Player 2,Null,Null,Null
